academia_1,rede_1,cidade_1,estado_1,academia_2,rede_2,cidade_2,estado_2,distancia_km
BARÃO DE ITAMBÍ,Selfit,Rio de Janeiro,Rio de Janeiro,Bambina,Smartfit,Rio de Janeiro,Rio de Janeiro,0.977
BARÃO DE ITAMBÍ,Selfit,Rio de Janeiro,Rio de Janeiro,Marquês de Abrantes,Smartfit,Rio de Janeiro,Rio de Janeiro,0.808
BARÃO DE ITAMBÍ,Selfit,Rio de Janeiro,Rio de Janeiro,Senador Vergueiro,Smartfit,Rio de Janeiro,Rio de Janeiro,0.796
BARRA (CHAME-CHAME),Selfit,Salvador,Bahia,BARRA HALL (ASSOC. ATLÉTICA),Selfit,Salvador,Bahia,0.724
BARRAMAR,Selfit,São Luís,Maranhão,GOLDEN SHOPPING,Selfit,São Luís,Maranhão,0.573
BENFICA,Selfit,Recife,Pernambuco,MADALENA,Selfit,Recife,Pernambuco,0.155
BENFICA,Selfit,Recife,Pernambuco,Madalena,Smartfit,Recife,Pernambuco,0.336
BERNARDO VIEIRA DE MELO,Selfit,Jaboatão dos Guararapes,Pernambuco,PIEDADE II,Selfit,Jaboatão dos Guararapes,Pernambuco,0.616
BERNARDO VIEIRA DE MELO,Selfit,Jaboatão dos Guararapes,Pernambuco,Shopping Guararapes,Smartfit,Jaboatão dos Guararapes,Pernambuco,0.466
BEZERRA DE MENEZES,Selfit,Fortaleza,Ceará,North Shopping,Smartfit,Fortaleza,Ceará,0.562
BOA VIAGEM I,Selfit,Recife,Pernambuco,Conselheiro Aguiar,Smartfit,Recife,Pernambuco,0.917
BOA VIAGEM I,Selfit,Recife,Pernambuco,BOA VIAGEM – RECIFE (PE),Skyfit,Recife,Pernambuco,0.36
BOA VIAGEM I,Selfit,Recife,Pernambuco,SELECT GYM BY PANOBIANCO,Panobianco,Recife,Pernambuco,0.966
BOA VIAGEM II,Selfit,Recife,Pernambuco,SHOPPING RECIFE,BodyTech,Recife,Pernambuco,0.164
BOA VIAGEM II,Selfit,Recife,Pernambuco,Conselheiro Aguiar,Smartfit,Recife,Pernambuco,0.518
BOA VIAGEM II,Selfit,Recife,Pernambuco,Shopping Recife,Smartfit,Recife,Pernambuco,0.479
BOA VIAGEM II,Selfit,Recife,Pernambuco,Mix Mateus Boa Viagem,Smartfit,Recife,Pernambuco,0.68
BOA VIAGEM II,Selfit,Recife,Pernambuco,SELECT GYM BY PANOBIANCO,Panobianco,Recife,Pernambuco,0.384
BOULEVARD TROPICAL,Selfit,São Luís,Maranhão,Manhattan Center III,Smartfit,São Luís,Maranhão,0.339
BOULEVARD TROPICAL,Selfit,São Luís,Maranhão,Holandeses Barramar,Smartfit,São Luís,Maranhão,0.935
BOULEVARD TROPICAL,Selfit,São Luís,Maranhão,CALHAU – SÃO LUÍS (MA),Skyfit,São Luís,Maranhão,0.779
CAMARÁ SHOPPING,Selfit,Camaragibe,Pernambuco,CAMARAGIBE (PE),Skyfit,Camaragibe,Pernambuco,0.404
CAMINHO DAS ÁRVORES,Selfit,Salvador,Bahia,ILHÉUS,Selfit,Salvador,Bahia,0.614
CAMINHO DAS ÁRVORES,Selfit,Salvador,Bahia,SHOPPING DA BAHIA,BodyTech,Salvador,Bahia,0.689
CAMINHO DAS ÁRVORES,Selfit,Salvador,Bahia,Salvador Shopping,Smartfit,Salvador,Bahia,0.899
CAMPOLIM,Selfit,Sorocaba,São Paulo,Campolim,Smartfit,Sorocaba,São Paulo,0.951
CARAPICUÍBA,Selfit,Carapicuíba,São Paulo,Centro,Smartfit,Carapicuíba,São Paulo,0.563
CARUARU,Selfit,Caruaru,Pernambuco,Shopping Difusora,Smartfit,Caruaru,Pernambuco,0.542
CASA AMARELA,Selfit,Recife,Pernambuco,TAMARINEIRA,Selfit,Recife,Pernambuco,0.233
CASA AMARELA,Selfit,Recife,Pernambuco,Desembargador Góis Cavalcante,Smartfit,Recife,Pernambuco,0.466
CASA AMARELA,Selfit,Recife,Pernambuco,Aflitos,Smartfit,Recife,Pernambuco,0.897
CASA CAIADA,Selfit,Olinda,Pernambuco,CASA CAIADA II,Selfit,Olinda,Pernambuco,0.524
CASA CAIADA,Selfit,Olinda,Pernambuco,Patteo Olinda Shopping,Smartfit,Olinda,Pernambuco,0.106
CASA CAIADA,Selfit,Olinda,Pernambuco,OLINDA (PE),Skyfit,Olinda,Pernambuco,0.524
CASA CAIADA II,Selfit,Olinda,Pernambuco,Patteo Olinda Shopping,Smartfit,Olinda,Pernambuco,0.573
CASA CAIADA II,Selfit,Olinda,Pernambuco,OLINDA (PE),Skyfit,Olinda,Pernambuco,0.0
CASA FORTE,Selfit,Recife,Pernambuco,Desembargador Góis Cavalcante,Smartfit,Recife,Pernambuco,0.934
CASA FORTE,Selfit,Recife,Pernambuco,CASA FORTE – RECIFE (PE),Skyfit,Recife,Pernambuco,0.306
CIDADE JARDIM,Selfit,Belo Horizonte,Minas Gerais,São Bento,Pratique Fitness,Belo Horizonte,Minas Gerais,0.759
CIDADE JARDIM,Selfit,Belo Horizonte,Minas Gerais,Luxemburgo,Smartfit,Belo Horizonte,Minas Gerais,0.526
CIDADE JARDIM,Selfit,Belo Horizonte,Minas Gerais,Avenida Prudente de Morais,Smartfit,Belo Horizonte,Minas Gerais,0.768
COHAMA,Selfit,São Luís,Maranhão,SHOPPING DA ILHA,BodyTech,São Luís,Maranhão,0.923
COHAMA,Selfit,São Luís,Maranhão,Atacadão São Luís,Smartfit,São Luís,Maranhão,0.541
CONDE DE BONFIM,Selfit,Rio de Janeiro,Rio de Janeiro,SHOPPING TIJUCA,BodyTech,Rio de Janeiro,Rio de Janeiro,0.872
CONDE DE BONFIM,Selfit,Rio de Janeiro,Rio de Janeiro,TIJUCA HADDOCK LOBO,BodyTech,Rio de Janeiro,Rio de Janeiro,0.926
CONDE DE BONFIM,Selfit,Rio de Janeiro,Rio de Janeiro,Rua Conde de Bonfim I,Smartfit,Rio de Janeiro,Rio de Janeiro,0.732
CONDE DE BONFIM,Selfit,Rio de Janeiro,Rio de Janeiro,Av. Maracanã II,Smartfit,Rio de Janeiro,Rio de Janeiro,0.776
CONDE DE BONFIM,Selfit,Rio de Janeiro,Rio de Janeiro,Haddock Lobo,Smartfit,Rio de Janeiro,Rio de Janeiro,0.869
COSTA AZUL,Selfit,Salvador,Bahia,Costa Azul,Smartfit,Salvador,Bahia,0.346
ESTAÇÃO CUIABÁ,Selfit,Cuiabá,Mato Grosso,GOIABEIRAS SHOPPING,BodyTech,Cuiabá,Mato Grosso,0.918
GARANHUNS,Selfit,São Paulo,State of São Paulo,Shopping Heliópolis,Smartfit,São Paulo,São Paulo,0.964
HOMERO CASTELO BRANCO,Selfit,Teresina,Piauí,Dom Severino,Smartfit,Teresina,Piauí,0.706
ICARAÍ,Selfit,Niterói,Rio de Janeiro,SANTA ROSA,BodyTech,Niterói,Rio de Janeiro,0.192
ICARAÍ,Selfit,Niterói,Rio de Janeiro,João Pessoa,Smartfit,Niterói,Rio de Janeiro,0.216
ILHÉUS,Selfit,Salvador,Bahia,SHOPPING DA BAHIA,BodyTech,Salvador,Bahia,0.888
ILHÉUS,Selfit,Salvador,Bahia,Salvador Shopping,Smartfit,Salvador,Bahia,0.336
JAIME BENÉVOLO,Selfit,Fortaleza,Ceará,Rua Assunção,Smartfit,Fortaleza,Ceará,0.738
JARDINS,Selfit,Aracaju,Sergipe,Atakarejo Adélia Franco,Smartfit,Aracaju,Sergipe,0.385
JEAN EMILE,Selfit,Recife,Pernambuco,RECIFE (PE),Skyfit,Recife,Pernambuco,0.754
JÓQUEI,Selfit,Teresina,Piauí,RIVERSIDE,Selfit,Teresina,Piauí,0.364
JÓQUEI,Selfit,Teresina,Piauí,Teresina Shopping,Smartfit,Teresina,Piauí,0.718
JUAZEIRO DO NORTE,Selfit,Juazeiro do Norte,Ceará,Juazeiro do Norte,Smartfit,Juazeiro do Norte,Ceará,0.489
LAGOA NOVA,Selfit,Natal,Rio Grande do Norte,LAGOA NOVA II,Selfit,Natal,Rio Grande do Norte,0.912
LAGOA NOVA,Selfit,Natal,Rio Grande do Norte,Lagoa Nova,Smartfit,Natal,Rio Grande do Norte,0.503
LAGOA NOVA,Selfit,Natal,Rio Grande do Norte,Midway,Smartfit,Natal,Rio Grande do Norte,0.471
LAGOA NOVA II,Selfit,Natal,Rio Grande do Norte,Lagoa Nova,Smartfit,Natal,Rio Grande do Norte,0.755
LAURO DE FREITAS,Selfit,Lauro de Freitas,Bahia,Atakarejo Lauro De Freitas,Smartfit,Lauro de Freitas,Bahia,0.263
MADALENA,Selfit,Recife,Pernambuco,PAISSANDÚ,Selfit,Recife,Pernambuco,0.94
MADALENA,Selfit,Recife,Pernambuco,Madalena,Smartfit,Recife,Pernambuco,0.343
MANAUS PLAZA SHOPPING,Selfit,Manaus,Amazonas,Amazonas Shopping,Smartfit,Manaus,Amazonas,0.392
MANGABEIRAS,Selfit,Maceió,Alagoas,Maceió Shopping,Smartfit,Maceió,Alagoas,0.582
MARQUÊS DE PARANAGUÁ,Selfit,Teresina,Piauí,PRIMAVERA – TERESINA (PI),Skyfit,Teresina,Piauí,0.661
MATATU,Selfit,Salvador,Bahia,Matatu,Smartfit,Salvador,Bahia,0.414
MENDONÇA FURTADO,Selfit,Macapá,Amapá,Macapá,Smartfit,Macapá,Amapá,0.782
MOR GOUVEIA,Selfit,Natal,Rio Grande do Norte,Esperança,Smartfit,Natal,Rio Grande do Norte,0.628
MOSSORÓ,Selfit,Mossoró,Rio Grande do Norte,Centro Mossoró,Smartfit,Mossoró,Rio Grande do Norte,0.199
NAZARÉ,Selfit,Nazaré,Leiria District,Pátio Belém,Smartfit,Belém,Pará,0.913
NAZARÉ,Selfit,Nazaré,Leiria District,Boulevard,Smartfit,Belém,Pará,0.609
NORTHWAY,Selfit,,,AURORA – PAULISTA (PE),Skyfit,Paulista,Pernambuco,0.937
OLARIA,Selfit,Rio de Janeiro,Rio de Janeiro,Penha Circular,Smartfit,Rio de Janeiro,Rio de Janeiro,0.893
OLARIA,Selfit,Rio de Janeiro,Rio de Janeiro,Olaria,Smartfit,Rio de Janeiro,Rio de Janeiro,0.69
OLHO D'ÁGUA I,Selfit,São Luís,Maranhão,Rio Anil Shopping,Smartfit,São Luís,Maranhão,0.38
PAISSANDÚ,Selfit,Recife,Pernambuco,Madalena,Smartfit,Recife,Pernambuco,0.862
PAISSANDÚ,Selfit,Recife,Pernambuco,Boa Vista,Smartfit,Recife,Pernambuco,0.99
PARALELA,Selfit,Salvador,Bahia,Imbuí I,Smartfit,Salvador,Bahia,0.348
PARNAÍBA,Selfit,Parnaíba,Piauí,Parnaíba,Smartfit,Parnaíba,Piauí,0.421
PARNAÍBA,Selfit,Parnaíba,Piauí,PARNAÍBA (PI),Skyfit,Parnaíba,Piauí,0.652
PÁTIO DOM LUÍS,Selfit,Fortaleza,Ceará,Barbosa de Freitas,Smartfit,Fortaleza,Ceará,0.847
PÁTIO DOM LUÍS,Selfit,Fortaleza,Ceará,Santos Dumont,Smartfit,Fortaleza,Ceará,0.424
PÁTIO DOM LUÍS,Selfit,Fortaleza,Ceará,Papicu,Smartfit,Fortaleza,Ceará,0.949
PÁTIO DOM LUÍS,Selfit,Fortaleza,Ceará,Meireles,Smartfit,Fortaleza,Ceará,0.496
PÁTIO NORTE,Selfit,São José de Ribamar,Maranhão,Maiobão,Smartfit,São José de Ribamar,Maranhão,0.561
PAULISTA CENTRO,Selfit,Rio de Janeiro,State of Rio de Janeiro,Uruguaiana,Smartfit,Rio de Janeiro,Rio de Janeiro,0.344
PAULISTA CENTRO,Selfit,Rio de Janeiro,State of Rio de Janeiro,Metrô Carioca,Smartfit,Rio de Janeiro,Rio de Janeiro,0.631
PAULISTA CENTRO,Selfit,Rio de Janeiro,State of Rio de Janeiro,CENTRO RIO – RIO DE JANEIRO (RJ),Skyfit,Rio de Janeiro,Rio de Janeiro,0.422
PIEDADE,Selfit,Jaboatão dos Guararapes,Pernambuco,CANDEIAS – JABOATÃO DOS GUARARAPES (PE),Skyfit,Jaboatão dos Guararapes,Pernambuco,0.733
PIEDADE,Selfit,Jaboatão dos Guararapes,Pernambuco,PIEDADE – JABOATÃO DOS GUARARAPES (PE),Skyfit,Jaboatão dos Guararapes,Pernambuco,0.265
PIEDADE II,Selfit,Jaboatão dos Guararapes,Pernambuco,Jaboatão,Smartfit,Jaboatão dos Guararapes,Pernambuco,0.699
PIEDADE II,Selfit,Jaboatão dos Guararapes,Pernambuco,Shopping Guararapes,Smartfit,Jaboatão dos Guararapes,Pernambuco,0.457
PITUBA II,Selfit,Salvador,Bahia,Pituba,Smartfit,Salvador,Bahia,0.484
PITUBA II,Selfit,Salvador,Bahia,PITUBA (BA),Skyfit,Salvador,Bahia,0.698
PONTA VERDE,Selfit,Maceió,Alagoas,Ponta Verde,Smartfit,Maceió,Alagoas,0.633
PRESIDENTE VARGAS,Selfit,Ribeirão Preto,São Paulo,Trio,Smartfit,Ribeirão Preto,São Paulo,0.448
RIVERSIDE,Selfit,Teresina,Piauí,SHOPPING RIO POTY,BodyTech,Teresina,Piauí,0.991
RIVERSIDE,Selfit,Teresina,Piauí,Teresina Shopping,Smartfit,Teresina,Piauí,0.753
ROSA E SILVA,Selfit,Recife,Pernambuco,Espinheiro,Smartfit,Recife,Pernambuco,0.169
SANTA CLARA,Selfit,São Paulo,São Paulo,Estação Oratório,Smartfit,São Paulo,São Paulo,0.882
SCOPA PLATINUM,Selfit,Fortaleza,Ceará,José Lourenço,Smartfit,Fortaleza,Ceará,0.282
SCOPA PLATINUM,Selfit,Fortaleza,Ceará,Iracema,Smartfit,Fortaleza,Ceará,0.964
SHOPPING PARANGABA,Selfit,Fortaleza,Ceará,Parangaba,Smartfit,Fortaleza,Ceará,0.48
TAMARINEIRA,Selfit,Recife,Pernambuco,Desembargador Góis Cavalcante,Smartfit,Recife,Pernambuco,0.599
TAMARINEIRA,Selfit,Recife,Pernambuco,Aflitos,Smartfit,Recife,Pernambuco,0.684
TORRE,Selfit,Recife,Pernambuco,Torre,Smartfit,Recife,Pernambuco,0.869
TRINDADE,Selfit,Florianópolis,Santa Catarina,VILLA ROMANA SHOPPING,BodyTech,Florianópolis,Santa Catarina,0.72
TRINDADE,Selfit,Florianópolis,Santa Catarina,Trindade,Pratique Fitness,Florianópolis,Santa Catarina,0.796
VIEIRALVES,Selfit,Manaus,Amazonas,Jardim Amazonas,Smartfit,Manaus,Amazonas,0.327
ALPHAVILLE,BodyTech,Barueri,São Paulo,Alphaville II,Smartfit,Barueri,São Paulo,0.759
ALPHAVILLE,BodyTech,Barueri,São Paulo,Alphaville I,Smartfit,Barueri,São Paulo,0.841
ALPHAVILLE,BodyTech,Barueri,São Paulo,ALPHAVILLE (SP),Skyfit,Barueri,São Paulo,0.72
ASA NORTE,BodyTech,Brasília,Distrito Federal,406 Norte,Smartfit,Brasília,Distrito Federal,0.539
ASA SUL,BodyTech,Brasília,Distrito Federal,511 Sul,Smartfit,Brasília,Distrito Federal,0.445
ASA SUL,BodyTech,Brasília,Distrito Federal,509 Sul,Smartfit,Brasília,Distrito Federal,0.797
ASA SUL,BodyTech,Brasília,Distrito Federal,Dom Bosco,Smartfit,Brasília,Federal District,0.661
BARRA - PENÍNSULA O2,BodyTech,Rio de Janeiro,Rio de Janeiro,Via Parque,Smartfit,Rio de Janeiro,Rio de Janeiro,0.656
BARRA - SHOPPING CITTÁ,BodyTech,Rio de Janeiro,Rio de Janeiro,Assaí Barra Américas,Smartfit,Rio de Janeiro,Rio de Janeiro,0.208
BARRA - VOGUE,BodyTech,Rio de Janeiro,Rio de Janeiro,Allways Mall,Smartfit,Rio de Janeiro,Rio de Janeiro,0.949
BARRA - ÉRICO VERÍSSIMO,BodyTech,Rio de Janeiro,Rio de Janeiro,Olegário Maciel,Smartfit,Rio de Janeiro,Rio de Janeiro,0.668
BOTAFOGO - RIO SUL,BodyTech,Rio de Janeiro,Rio de Janeiro,Rua da Passagem,Smartfit,Rio de Janeiro,Rio de Janeiro,0.386
BOTAFOGO - S. CLEMENTE,BodyTech,Rio de Janeiro,Rio de Janeiro,Voluntários da Pátria II,Smartfit,Rio de Janeiro,Rio de Janeiro,0.971
BOTAFOGO - S. CLEMENTE,BodyTech,Rio de Janeiro,Rio de Janeiro,Voluntários da Pátria I,Smartfit,Rio de Janeiro,Rio de Janeiro,0.433
BOTAFOGO - S. CLEMENTE,BodyTech,Rio de Janeiro,Rio de Janeiro,Bambina,Smartfit,Rio de Janeiro,Rio de Janeiro,0.268
BROOKLIN GUARARAPES,BodyTech,São Paulo,São Paulo,Brooklin Paulista,Smartfit,São Paulo,São Paulo,0.401
BROOKLIN GUARARAPES,BodyTech,São Paulo,São Paulo,Av. Santo Amaro,Smartfit,São Paulo,São Paulo,0.181
CAMPOS,BodyTech,Campos dos Goytacazes,Rio de Janeiro,Campos dos Goytacazes,Smartfit,Campos dos Goytacazes,Rio de Janeiro,0.849
CAMPOS,BodyTech,Campos dos Goytacazes,Rio de Janeiro,CAMPOS RJ,Panobianco,Campos dos Goytacazes,Rio de Janeiro,0.951
CENTER SHOPPING RIO,BodyTech,Rio de Janeiro,Rio de Janeiro,Tindiba,Smartfit,Rio de Janeiro,Rio de Janeiro,0.957
COMPLEXO JK,BodyTech,São Paulo,São Paulo,Gomes de Carvalho,Smartfit,São Paulo,São Paulo,0.598
COPA - N.S COPACABANA 1144,BodyTech,Rio de Janeiro,Rio de Janeiro,COPA - N.S. COPACABANA 801,BodyTech,Rio de Janeiro,Rio de Janeiro,0.795
COPA - N.S COPACABANA 1144,BodyTech,Rio de Janeiro,Rio de Janeiro,IPANEMA - G. CARNEIRO,BodyTech,Rio de Janeiro,Rio de Janeiro,0.704
COPA - N.S COPACABANA 1144,BodyTech,Rio de Janeiro,Rio de Janeiro,Ipanema,Smartfit,Rio de Janeiro,Rio de Janeiro,0.931
COPA - N.S COPACABANA 1144,BodyTech,Rio de Janeiro,Rio de Janeiro,Francisco Sá,Smartfit,Rio de Janeiro,Rio de Janeiro,0.36
COPA - N.S COPACABANA 1144,BodyTech,Rio de Janeiro,Rio de Janeiro,Pompeu Loureiro,Smartfit,Rio de Janeiro,Rio de Janeiro,0.768
COPA - N.S COPACABANA 1144,BodyTech,Rio de Janeiro,Rio de Janeiro,Nsa. Copacabana 928,Smartfit,Rio de Janeiro,Rio de Janeiro,0.534
COPA - N.S COPACABANA 1144,BodyTech,Rio de Janeiro,Rio de Janeiro,Nsa. Copacabana 749,Smartfit,Rio de Janeiro,Rio de Janeiro,0.909
COPA - N.S COPACABANA 446,BodyTech,Rio de Janeiro,Rio de Janeiro,COPA - N.S. COPACABANA 801,BodyTech,Rio de Janeiro,Rio de Janeiro,0.895
COPA - N.S COPACABANA 446,BodyTech,Rio de Janeiro,Rio de Janeiro,Nsa. Copacabana 749,Smartfit,Rio de Janeiro,Rio de Janeiro,0.788
COPA - N.S COPACABANA 446,BodyTech,Rio de Janeiro,Rio de Janeiro,Barata Ribeiro,Smartfit,Rio de Janeiro,Rio de Janeiro,0.634
COPA - N.S COPACABANA 446,BodyTech,Rio de Janeiro,Rio de Janeiro,Nsa. Copacabana 690,Smartfit,Rio de Janeiro,Rio de Janeiro,0.6
COPA - N.S COPACABANA 446,BodyTech,Rio de Janeiro,Rio de Janeiro,Copacabana Siqueira Campos,Smartfit,Rio de Janeiro,Rio de Janeiro,0.399
COPA - N.S COPACABANA 446,BodyTech,Rio de Janeiro,Rio de Janeiro,Tonelero,Smartfit,Rio de Janeiro,Rio de Janeiro,0.214
COPA - N.S COPACABANA 446,BodyTech,Rio de Janeiro,Rio de Janeiro,COPACABANA (RJ),Skyfit,Rio de Janeiro,Rio de Janeiro,0.626
COPA - N.S. COPACABANA 801,BodyTech,Rio de Janeiro,Rio de Janeiro,Pompeu Loureiro,Smartfit,Rio de Janeiro,Rio de Janeiro,0.403
COPA - N.S. COPACABANA 801,BodyTech,Rio de Janeiro,Rio de Janeiro,Nsa. Copacabana 928,Smartfit,Rio de Janeiro,Rio de Janeiro,0.285
COPA - N.S. COPACABANA 801,BodyTech,Rio de Janeiro,Rio de Janeiro,Nsa. Copacabana 749,Smartfit,Rio de Janeiro,Rio de Janeiro,0.114
COPA - N.S. COPACABANA 801,BodyTech,Rio de Janeiro,Rio de Janeiro,Barata Ribeiro,Smartfit,Rio de Janeiro,Rio de Janeiro,0.397
COPA - N.S. COPACABANA 801,BodyTech,Rio de Janeiro,Rio de Janeiro,Nsa. Copacabana 690,Smartfit,Rio de Janeiro,Rio de Janeiro,0.317
COPA - N.S. COPACABANA 801,BodyTech,Rio de Janeiro,Rio de Janeiro,Copacabana Siqueira Campos,Smartfit,Rio de Janeiro,Rio de Janeiro,0.771
COPA - N.S. COPACABANA 801,BodyTech,Rio de Janeiro,Rio de Janeiro,COPACABANA (RJ),Skyfit,Rio de Janeiro,Rio de Janeiro,0.288
FREI CANECA,BodyTech,São Paulo,São Paulo,Augusta,Smartfit,São Paulo,São Paulo,0.774
FREI CANECA,BodyTech,São Paulo,São Paulo,Avenida Angélica,Smartfit,São Paulo,São Paulo,0.961
FREI CANECA,BodyTech,São Paulo,São Paulo,Baixo Augusta,Smartfit,São Paulo,São Paulo,0.293
FREI CANECA,BodyTech,São Paulo,São Paulo,Bela Vista II,Smartfit,São Paulo,São Paulo,0.133
GOIABEIRAS SHOPPING,BodyTech,Cuiabá,Mato Grosso,Goiabeiras,Smartfit,Cuiabá,Mato Grosso,0.874
GUARULHOS PARQUE SHOP MAIA,BodyTech,Guarulhos,São Paulo,SALGADO FILHO,Panobianco,Guarulhos,São Paulo,0.565
GUARULHOS PARQUE SHOP MAIA,BodyTech,Guarulhos,São Paulo,SANTA MENA,Panobianco,Guarulhos,São Paulo,0.874
GÁVEA - SHOP. DA GÁVEA,BodyTech,Rio de Janeiro,Rio de Janeiro,Bartolomeu Mitre,Smartfit,Rio de Janeiro,Rio de Janeiro,0.966
GÁVEA - SHOP. DA GÁVEA,BodyTech,Rio de Janeiro,Rio de Janeiro,Gávea,Smartfit,Rio de Janeiro,Rio de Janeiro,0.366
IGUATEMI - SÃO PAULO,BodyTech,São Paulo,São Paulo,PINHEIROS - ELDORADO,BodyTech,São Paulo,São Paulo,0.982
IPANEMA - B. DA TORRE,BodyTech,Rio de Janeiro,Rio de Janeiro,IPANEMA - PÇ NS DA PAZ,BodyTech,Rio de Janeiro,Rio de Janeiro,0.525
IPANEMA - B. DA TORRE,BodyTech,Rio de Janeiro,Rio de Janeiro,LEBLON - ATAULFO 467,BodyTech,Rio de Janeiro,Rio de Janeiro,0.968
IPANEMA - B. DA TORRE,BodyTech,Rio de Janeiro,Rio de Janeiro,SHOPPING LEBLON,BodyTech,Rio de Janeiro,Rio de Janeiro,0.596
IPANEMA - B. DA TORRE,BodyTech,Rio de Janeiro,Rio de Janeiro,Barão da Torre,Smartfit,Rio de Janeiro,Rio de Janeiro,0.458
IPANEMA - G. CARNEIRO,BodyTech,Rio de Janeiro,Rio de Janeiro,Visconde de Pirajá,Smartfit,Rio de Janeiro,Rio de Janeiro,0.482
IPANEMA - G. CARNEIRO,BodyTech,Rio de Janeiro,Rio de Janeiro,Ipanema,Smartfit,Rio de Janeiro,Rio de Janeiro,0.394
IPANEMA - G. CARNEIRO,BodyTech,Rio de Janeiro,Rio de Janeiro,Francisco Sá,Smartfit,Rio de Janeiro,Rio de Janeiro,0.434
IPANEMA - PÇ NS DA PAZ,BodyTech,Rio de Janeiro,Rio de Janeiro,Barão da Torre,Smartfit,Rio de Janeiro,Rio de Janeiro,0.19
IPANEMA - PÇ NS DA PAZ,BodyTech,Rio de Janeiro,Rio de Janeiro,Visconde de Pirajá,Smartfit,Rio de Janeiro,Rio de Janeiro,0.619
IPANEMA - PÇ NS DA PAZ,BodyTech,Rio de Janeiro,Rio de Janeiro,Ipanema,Smartfit,Rio de Janeiro,Rio de Janeiro,0.716
ITAIM - JOÃO CACHOEIRA,BodyTech,São Paulo,São Paulo,ITAIM - LEOPOLDO,BodyTech,São Paulo,São Paulo,0.664
ITAIM - JOÃO CACHOEIRA,BodyTech,São Paulo,São Paulo,Joaquim Floriano,Smartfit,São Paulo,São Paulo,0.514
ITAIM - JOÃO CACHOEIRA,BodyTech,São Paulo,São Paulo,ITAIM BIBI (SP),Skyfit,São Paulo,São Paulo,0.628
ITAIM - LEOPOLDO,BodyTech,São Paulo,São Paulo,Joaquim Floriano,Smartfit,São Paulo,São Paulo,0.176
ITAIM - LEOPOLDO,BodyTech,São Paulo,São Paulo,Clodomiro Amazonas II,Smartfit,São Paulo,São Paulo,0.535
ITAIM - LEOPOLDO,BodyTech,São Paulo,São Paulo,ITAIM BIBI (SP),Skyfit,São Paulo,São Paulo,0.077
JARDINS - CONSOLAÇÃO,BodyTech,São Paulo,São Paulo,Augusta,Smartfit,São Paulo,São Paulo,0.771
JARDINS - CONSOLAÇÃO,BodyTech,São Paulo,São Paulo,Rua da Consolação II,Smartfit,São Paulo,São Paulo,0.117
JARDINS - CONSOLAÇÃO,BodyTech,São Paulo,São Paulo,Avenida Angélica,Smartfit,São Paulo,São Paulo,0.771
JARDINS - CONSOLAÇÃO,BodyTech,São Paulo,São Paulo,Oscar Freire,Smartfit,São Paulo,São Paulo,0.956
JD. BOTÂNICO - M. ANGÉLICA,BodyTech,Rio de Janeiro,Rio de Janeiro,Humaitá,Smartfit,Rio de Janeiro,Rio de Janeiro,0.663
LAGO NORTE - IGUATEMI,BodyTech,Brasília,Distrito Federal,Península Shopping,Smartfit,Brasília,Distrito Federal,0.248
LEBLON - ATAULFO 1100,BodyTech,Rio de Janeiro,Rio de Janeiro,LEBLON - ATAULFO 467,BodyTech,Rio de Janeiro,Rio de Janeiro,0.61
LEBLON - ATAULFO 1100,BodyTech,Rio de Janeiro,Rio de Janeiro,LEBLON - GAL URQUIZA,BodyTech,Rio de Janeiro,Rio de Janeiro,0.25
LEBLON - ATAULFO 1100,BodyTech,Rio de Janeiro,Rio de Janeiro,Dias Ferreira,Smartfit,Rio de Janeiro,Rio de Janeiro,0.262
LEBLON - ATAULFO 1100,BodyTech,Rio de Janeiro,Rio de Janeiro,Bartolomeu Mitre,Smartfit,Rio de Janeiro,Rio de Janeiro,0.344
LEBLON - ATAULFO 1100,BodyTech,Rio de Janeiro,Rio de Janeiro,Leblon,Smartfit,Rio de Janeiro,Rio de Janeiro,0.518
LEBLON - ATAULFO 467,BodyTech,Rio de Janeiro,Rio de Janeiro,LEBLON - GAL URQUIZA,BodyTech,Rio de Janeiro,Rio de Janeiro,0.372
LEBLON - ATAULFO 467,BodyTech,Rio de Janeiro,Rio de Janeiro,SHOPPING LEBLON,BodyTech,Rio de Janeiro,Rio de Janeiro,0.419
LEBLON - ATAULFO 467,BodyTech,Rio de Janeiro,Rio de Janeiro,Dias Ferreira,Smartfit,Rio de Janeiro,Rio de Janeiro,0.871
LEBLON - ATAULFO 467,BodyTech,Rio de Janeiro,Rio de Janeiro,Bartolomeu Mitre,Smartfit,Rio de Janeiro,Rio de Janeiro,0.381
LEBLON - ATAULFO 467,BodyTech,Rio de Janeiro,Rio de Janeiro,Leblon,Smartfit,Rio de Janeiro,Rio de Janeiro,0.114
LEBLON - GAL URQUIZA,BodyTech,Rio de Janeiro,Rio de Janeiro,SHOPPING LEBLON,BodyTech,Rio de Janeiro,Rio de Janeiro,0.765
LEBLON - GAL URQUIZA,BodyTech,Rio de Janeiro,Rio de Janeiro,Dias Ferreira,Smartfit,Rio de Janeiro,Rio de Janeiro,0.511
LEBLON - GAL URQUIZA,BodyTech,Rio de Janeiro,Rio de Janeiro,Bartolomeu Mitre,Smartfit,Rio de Janeiro,Rio de Janeiro,0.141
